training;age;emergency_braking;braking_distance;power;miles;risk;group_name;group
0;59.69191455582208;1;40.33622606282286;150.55677548606783;80.21186683354716;3.258202886599455;high;0
0;29.001160978706167;1;40.58608920497356;152.73275336631121;48.93916085590925;0.3520074831258541;low;2
0;40.385158094866156;0;36.280032523455624;163.96995676800887;96.8226768732084;2.080875440657151;medium;1
0;29.3823757740298;0;35.20031929844549;134.92886410806275;81.5769934110021;0.8396338178023591;low;2
0;22.726122111186246;0;43.216105561735105;173.81258086184835;46.08157108575552;3.347899982053772;high;0
0;27.266182902859306;1;38.329728789890005;105.73407153567958;118.63010799218878;1.1866478956645328;medium;1
0;45.04589876009884;1;33.696392399487856;221.1107731800002;77.86817666997587;1.5363560878561322;medium;1
0;68.67080417873103;1;46.24902350954457;137.1924206187333;77.13459321327707;4.931818516962482;high;0
0;27.660294510845137;0;34.83001006260241;101.98451653301692;95.30338669870018;0.7244302730205415;low;2
0;33.19348965593188;0;40.31342465317658;110.52068806986563;96.96919280170417;1.800655574988739;medium;1
0;30.937351882702437;1;42.17203430245065;217.08982420872636;113.75563950336128;3.7694798592106613;high;0
1;25.54295912626419;1;49.4498886056111;182.53654828127554;52.68428552274168;1.1895164494665076;medium;1
0;21.32892357421714;1;35.58096431219965;69.1096923948041;70.45615671910966;0.6777711616166997;low;2
0;32.039368018472224;0;44.56768640852244;88.13459068880206;106.66707795127874;2.610609438341675;medium;1
0;28.254212572009536;0;32.32384661730149;161.43079473112232;63.63506211980572;0.5535960317258296;low;2
1;29.006989307565686;1;31.050918062185694;81.71159931540716;62.715247884736556;-3.5786844857551183;low;2
0;43.458477776126976;1;42.975926013292714;102.77228307483296;125.05196902915895;2.2982670546642914;medium;1
1;35.0699899840328;1;26.645752983246368;166.6574339541288;60.47173271234056;-4.0372722928420846;low;2
0;27.195858390828334;1;41.085252448747646;92.30337230434773;70.41053248678148;0.01926558254609438;low;2
0;25.130585608813377;0;30.499135301477878;122.71567242330417;68.57949033527653;-0.18519433060190404;low;2
0;68.44182888082939;1;49.366575243431775;143.73074802225455;65.52497955873122;5.033780671558047;high;0
0;27.053564912640066;1;44.97499144765001;104.07508679578252;85.73296024965835;1.4416165811447983;medium;1
0;46.84882273056599;1;38.669801947762494;103.20109295584163;100.230328793137;1.446691683764406;medium;1
1;32.80387965360451;1;38.42095021865595;111.93013682236477;91.78932008325317;-1.8597220307173412;low;2
1;38.534791757919464;1;31.05895739809217;166.92965346971081;64.3458020463853;-2.4269801750307676;low;2
0;27.07131734115649;1;41.76854813619551;176.37337623631828;70.14468918029988;2.009690317742015;medium;1
0;30.97677555612338;1;39.94078010625447;159.793067476017;67.11299264161842;0.7516929657924751;low;2
0;27.656654442713936;1;38.07623955619643;154.21408399800686;26.466557669858506;1.015444071839653;medium;1
0;32.51166345806405;1;43.906747016730044;147.815835507542;39.230625724364394;1.5269375581861482;medium;1
0;53.09377342866206;1;36.25080404688846;80.82872652800594;44.8931634443853;0.4030244810114948;low;2
0;23.391693751191905;1;47.16267750098157;132.9507627082017;52.52704859223675;2.310161473054227;medium;1
0;35.845960613249574;1;32.01480146245713;119.56075051665407;97.16861247090455;-1.0499035587987753;low;2
0;59.36498616620826;1;31.369681866976073;166.34509691163217;61.912974192263604;1.0311256174109393;medium;1
0;33.17490190678441;0;36.786483224377456;92.18177876081806;83.6590079254877;0.5829914074060819;low;2
